step,phase,u1,u2,L_T1_mm,L_T2_mm
0,Circulaire,1.0,0.0,19.095,16.548
1,Circulaire,1.0,0.0,18.655,16.503
2,Circulaire,1.0,0.0,18.793,16.547
3,Circulaire,1.0,0.0,18.671,16.56
4,Circulaire,1.0,0.0,18.778,16.54
5,Circulaire,1.0,0.0,18.632,16.492
6,Circulaire,1.0,0.0,18.798,16.415
7,Circulaire,1.0,0.0,18.647,16.501
8,Circulaire,1.0,0.0,18.745,16.577
9,Circulaire,1.0,0.0,18.643,16.618
10,Circulaire,1.0,0.0,18.77,16.627
11,Circulaire,1.0,0.0,18.643,16.599
12,Circulaire,1.0,0.0,18.769,16.558
13,Circulaire,1.0,0.0,18.689,16.667
14,Circulaire,1.0,0.0,18.813,16.767
15,Circulaire,1.0,0.0,18.644,16.831
16,Circulaire,1.0,0.0,18.795,16.861
17,Circulaire,1.0,0.0,18.69,16.854
18,Circulaire,1.0,0.0,18.857,16.814
19,Circulaire,1.0,0.0,18.72,16.739
20,Circulaire,1.0,0.0,18.793,16.631
21,Circulaire,1.0,0.0,18.719,16.666
22,Circulaire,1.0,0.0,18.851,16.697
23,Circulaire,1.0,0.0,18.731,16.69
24,Circulaire,1.0,0.0,18.866,16.647
25,Circulaire,1.0,0.0,18.717,16.567
26,Circulaire,1.0,0.0,18.877,16.643
27,Circulaire,1.0,0.0,18.713,16.715
28,Circulaire,1.0,0.0,18.875,16.749
29,Circulaire,1.0,0.0,18.719,16.744
30,Circulaire,1.0,0.0,18.885,16.7
31,Circulaire,1.0,0.0,18.728,16.671
32,Circulaire,1.0,0.0,18.907,16.676
33,Circulaire,1.0,0.0,18.777,16.748
34,Circulaire,1.0,0.0,18.897,16.782
35,Circulaire,1.0,0.0,18.787,16.779
36,Circulaire,1.0,0.0,18.903,16.736
37,Circulaire,1.0,0.0,18.756,16.657
38,Circulaire,1.0,0.0,18.875,16.54
39,Circulaire,1.0,0.0,18.753,16.404
40,Circulaire,1.0,0.0,18.851,16.448
41,Circulaire,1.0,0.0,18.793,16.465
42,Circulaire,1.0,0.0,18.901,16.595
43,Circulaire,1.0,0.0,18.78,16.726
44,Circulaire,1.0,0.0,18.97,16.82
45,Circulaire,1.0,0.0,18.851,16.878
46,Circulaire,1.0,0.0,18.956,16.9
47,Circulaire,1.0,0.0,18.861,16.884
48,Circulaire,1.0,0.0,19.006,16.832
49,Circulaire,1.0,0.0,18.885,16.742
