step,u1,u2,f1_residual,f2_residual,frame_z
0,1.0,0.0,53.0544,45.9249,0.5999
1,1.0,0.0126,53.1091,45.7954,0.5998
2,1.0,0.0251,53.1036,45.7995,0.5997
3,1.0,0.0377,53.1136,45.7607,0.5996
4,1.0,0.0503,53.121,45.7776,0.5992
5,1.0,0.0628,53.1403,45.7635,0.5987
6,1.0,0.0754,53.1633,45.6814,0.5983
7,1.0,0.0879,53.1852,45.5601,0.5979
8,1.0,0.1005,53.2054,45.5326,0.5975
9,1.0,0.1131,53.2235,45.5319,0.5969
10,1.0,0.1256,53.2367,45.5811,0.5963
11,1.0,0.1382,53.244,45.7898,0.5955
12,1.0,0.1508,53.2566,45.9596,0.5946
13,1.0,0.1633,53.2691,46.0327,0.5936
14,1.0,0.1759,53.291,46.1724,0.5925
15,1.0,0.1884,53.2943,46.2456,0.5912
16,1.0,0.201,53.3157,46.1936,0.59
17,1.0,0.2136,53.3327,46.1666,0.5886
18,1.0,0.2261,53.3437,46.2512,0.5873
19,1.0,0.2387,53.3506,46.1167,0.5861
20,1.0,0.2513,53.3797,46.4199,0.5847
21,1.0,0.2638,53.4157,46.4906,0.5832
22,1.0,0.2764,53.4116,46.5388,0.5813
23,1.0,0.2889,53.4205,46.3644,0.5793
24,1.0,0.3015,53.4422,46.4476,0.577
25,1.0,0.3141,53.4408,46.3595,0.5746
26,1.0,0.3266,53.4262,46.3647,0.5724
27,1.0,0.3392,53.4079,46.1742,0.5704
28,1.0,0.3518,53.4431,46.1359,0.5685
29,1.0,0.3643,53.4278,45.734,0.5668
30,1.0,0.3769,53.3459,45.6614,0.5655
31,1.0,0.3894,53.5215,45.4573,0.5643
32,1.0,0.402,53.5329,45.4084,0.563
33,1.0,0.4146,53.4788,45.4058,0.5619
34,1.0,0.4271,53.4414,45.6642,0.5609
35,1.0,0.4397,53.5156,45.4401,0.5598
36,1.0,0.4523,53.5595,45.4174,0.5586
37,1.0,0.4648,53.5037,45.4486,0.5572
38,1.0,0.4774,53.4929,45.5721,0.5554
39,1.0,0.4899,53.6234,45.6146,0.5536
40,1.0,0.5025,53.6388,45.5701,0.5516
41,1.0,0.5151,53.6577,45.5128,0.5495
42,1.0,0.5276,53.6731,45.4759,0.5474
43,1.0,0.5402,53.6938,45.4093,0.5451
44,1.0,0.5528,53.7114,45.2995,0.5427
45,1.0,0.5653,53.728,45.248,0.5402
46,1.0,0.5779,53.7403,45.1762,0.5377
47,1.0,0.5905,53.7538,45.1272,0.535
48,1.0,0.603,53.7675,45.0626,0.5322
49,1.0,0.6156,53.7814,45.084,0.5293
50,1.0,0.6281,53.7959,45.0294,0.5263
51,1.0,0.6407,53.8133,44.7571,0.5232
52,1.0,0.6533,53.8227,44.707,0.52
53,1.0,0.6658,53.8338,44.7702,0.5166
54,1.0,0.6784,53.8592,44.7758,0.5132
55,1.0,0.691,53.884,44.9499,0.5097
56,1.0,0.7035,53.8976,44.9231,0.5061
57,1.0,0.7161,53.9179,44.9034,0.5024
58,1.0,0.7286,53.9324,44.9638,0.4985
59,1.0,0.7412,53.9458,45.019,0.4946
60,1.0,0.7538,53.9622,44.9343,0.4906
61,1.0,0.7663,53.9777,44.7445,0.4865
62,1.0,0.7789,53.9909,44.608,0.4826
63,1.0,0.7915,54.0001,44.5616,0.4787
64,1.0,0.804,54.0074,44.4802,0.4749
65,1.0,0.8166,54.0156,44.4454,0.4711
66,1.0,0.8291,54.0268,44.368,0.4672
67,1.0,0.8417,54.0409,44.3031,0.4631
68,1.0,0.8543,54.0578,44.2243,0.459
69,1.0,0.8668,54.0791,44.2135,0.4547
70,1.0,0.8794,54.0996,44.0398,0.4505
71,1.0,0.892,54.1146,43.9334,0.4462
72,1.0,0.9045,54.1344,44.2079,0.4418
73,1.0,0.9171,54.1533,44.0513,0.4373
74,1.0,0.9296,54.1579,43.7478,0.4328
75,1.0,0.9422,54.1696,43.6573,0.4281
76,1.0,0.9548,54.1898,43.7401,0.4233
77,1.0,0.9673,54.2195,43.7586,0.4185
78,1.0,0.9799,54.2293,43.3789,0.4135
79,1.0,0.9925,54.2472,43.3098,0.4084
80,0.996,0.995,54.034,43.1905,0.4032
81,0.9859,0.9824,53.471,43.3882,0.3979
82,0.9759,0.9698,52.8704,43.238,0.3925
83,0.9658,0.9573,52.2673,42.6687,0.387
84,0.9558,0.9447,51.7703,42.3632,0.3814
85,0.9457,0.9322,51.2339,42.0571,0.3757
86,0.9357,0.9196,50.5823,41.6644,0.3699
87,0.9256,0.907,50.0721,41.367,0.364
88,0.9156,0.8945,49.5489,41.0642,0.358
89,0.9055,0.8819,48.9832,41.0121,0.3518
90,0.8955,0.8693,48.4873,40.3579,0.3456
91,0.8854,0.8568,47.9147,40.0029,0.3393
92,0.8754,0.8442,47.4521,39.6274,0.3328
93,0.8653,0.8317,46.9971,39.3561,0.3263
94,0.8553,0.8191,46.4416,39.0489,0.3197
95,0.8452,0.8065,45.8541,38.638,0.3137
96,0.8352,0.794,45.383,38.0912,0.3094
97,0.8251,0.7814,44.7976,37.6202,0.3057
98,0.8151,0.7688,44.2389,37.4187,0.3021
99,0.805,0.7563,43.6772,36.9066,0.2984
100,0.795,0.7437,43.1092,36.2173,0.2946
101,0.7849,0.7312,42.5555,35.6499,0.2907
102,0.7749,0.7186,41.9919,34.8894,0.2868
103,0.7648,0.706,41.446,34.5355,0.2827
104,0.7548,0.6935,40.8619,34.3108,0.2785
105,0.7447,0.6809,40.2861,33.7844,0.2742
106,0.7347,0.6683,39.7451,33.3188,0.2698
107,0.7246,0.6558,39.1407,32.8707,0.2654
108,0.7146,0.6432,38.6626,32.3484,0.2619
109,0.7045,0.6307,38.0655,31.8485,0.2593
110,0.6945,0.6181,37.4964,31.2721,0.2572
111,0.6844,0.6055,37.0059,30.8859,0.2551
112,0.6744,0.593,36.4175,30.338,0.2533
113,0.6643,0.5804,35.854,29.4125,0.2519
114,0.6543,0.5678,35.3705,28.7425,0.2514
115,0.6442,0.5553,34.8422,28.1649,0.2518
